ImageName,Image Id,Discription,,Breed,Gender,age ,size,type
n02086910_1475,33,I have a medium size male adult  papillon dog is very lively and playful easy to carry polite with strangers and have a good behaviuor around other pets I would like to arrange a crossing partner for my dog.we live near colombo.dog with a happy face,,papillon,male,adult,medium,crossing
n02086910_1501,34,I want to arrange a playdate for my papillon male small size puppy it is very playful and lively and also have good behaviour around kids and strangers and adapt well with other dogs. we live near galle.,,papillon,male,puppy,small,playdate
n02086910_1921,35,I would like to arrrange a playdate for my medium size female adult papillon dog it is very playful and lively and also have good behaviour around kids and strangers and adapt well  with other dogs.welive near matar.brown & white dog on green grass ground,,papillon,female,adult,medium,playdate
n02086910_2188,36,My dog is  medium size male papillon puppy  it is very playful and lively and also have good behaviour around kids and strangers and polite with other dogs.I want to arrange a crossing partner for my dog.i live in kalutara,,papillon,male,puppy,medium,crossing
n02086910_2359,37,I have a small female adult  papillon dog is very lively and playful easy to carry polite with strangers and have a good behaviuor around other pets .love to play outside.I would like to arrange a playdate  for my dog.we live near  negambo.white & brown dog sitting on a ground.,,papillon,female,adult,small,playdate
n02086910_2410,38,I want to arrange a playdate for my papillon female small size puppy it is very playful and lively and also have good behaviour around kids and strangers and adapt well with other dogs. we live near puttalam,,papillon,female,puppy,small,playdate
n02088094_115,39,I have a large female adult Afghan hound dog has a tall slender elegent build is extremely athletic is gentel with strangers and with other petsand very playful dog. I would like to arrange a playdate for my dog I live near galle.ash color dog standing near tuilip flower feild.,, Afghan hound,female,adult,large,playdate
n02088094_472,40,I would like to arrange a crossing partner for my Afgan hound  large size male adult dog it is elegent build very good in athletic and gentle with people and also have good behaviour with other pets and also very playful.I live near matale.ash color  dog standing on a green grass ground.,, Afghan hound,male,adult,large,crossing
n02088094_791,41,My dog is a medium size female adult Afgan hound dog it is elegent build very good in athletic and gentle with people and also have good behaviour with other pets and also very playful.i would like  to arrange a playdate for my dog.I live near matara.we live near gampha.black dog stand on a road.,, Afghan hound,female,adult,medium,playdate
n02088094_1128,42,I want to arrange a crossing partner for my large size male adult Afgan hound dog  it is elegent build very good in athletic and gentle with people and also have good behaviour with other pets and also very playful.I live near kurunegala.brown dog standing near a ground.,, Afghan hound,male,adult,large,crossing
n02088094_1479,43,I have a medium size female Afgan hound puppy it is elegent build very good in athletic and gentle with people and also have good behaviour with other pets and love kids and also very playful.Ilike to arrange a playdate for my dogI live near monaragala.white & black dog resting on the floor,, Afghan hound,female,puppy,medium,playdate
n02088094_1126,44,I would like to arrange a playdate for my Afgan hound  large size female adult dog it is elegent build very good in athletic and gentle with people and also have good behaviour with other pets and also very playful love to play outside.I live near colombo.,, Afghan hound,female,adult,large,playdate
n02088094_2062,45,My dog is a medium size male adult Afgan hound dog  it is elegent build very good in athletic and gentle with people and also have good behaviour with other pets and love kids and also very playful.i would like to find a matching crossing partner for my dog.i live near matale.creamcolor dog standing on a green grass ground.,, Afghan hound,male,adult,medium,crossing
n02088094_3593,46,I have a large size female adult Afgan hound dog it is elegent build very good in athletic and gentle with people and also have good behaviour with other pets and also very playful love to play outside I would like to arrange a playdate for my dog.i live near gampaha.,, Afghan hound,female,adult,large,playdate
n02088094_4352,47,"I want to arrange a crossing partner for my medium size male adult Afgan hound dog very active, it is elegent build very good in athletic and gentle with people and also have good behaviour with other pets and also very playful.i live near puttalam.black dog stand on a green ground.",, Afghan hound,male,adult,medium,crossing
n02088094_4195,48,I would like to arrange a playdate for my Afgan hound  large size male adult dog it is elegent build very good in athletic and gentle with people and also have good behaviour with other pets and also very playful love to play outside.I live near gampha.,, Afghan hound,male,adult,large,playdate
n02088364_129,49,"I have a medium size adult  female beagle dog. it is very athletic,loves exercise,play and outdoor activities is very polite and good with everyone include other dogs and strangers. I want to arrange a playdate for my dog we live near polonnaruwa.brown & black dog standing on a green grass ground.",,beagle,female,adult,medium,playdate
n02088364_427,50,I want a to arrange a playdate for my medium size female beagle puppy who love to play outdoor and very found of athletic and also love doing exercises and it is very polite with other pets and with other people.we live near galle.,,beagle,female,puppy,medium,playdate
n02088364_1507,51,"my dog is a small male beagle puppy  it is very athletic,loves exercise,play and outdoor activities is very polite and good with everyone include other dogs and strangers. I want to arrange a playdate for my dog .we live near galle.black & white puppy siting on a floor",,beagle,male,puppy,small,playdate
n02088364_2019,52,"I have a small size adult  female beagle dog. it is very athletic,loves exercise,play and outdoor activities is very polite and good with everyone include other dogs and strangers. I want to arrange a crossing partner for my dog.we live in galle black & brown puppy sitting on a stair case.",,beagle,female,adult,small,crossing
n02088364_4070,53,I want a to arrange a playdate for my large size male adult beagle dog who love to play outdoor and very found of athletic and also love doing exercises and it is very polite with other pets and with other people.we live near matale.brown & black dog standing near a tree,,beagle,male,adult,large,playdate
n02088364_4473,54,"my dog is a small female beagle puppy it is very athletic,loves exercise,play and outdoor activities is very polite and good with everyone include other dogs and strangers. I want to arrange a playdate for my dog.we livve in gampha.brown & blackpuppy siting on the floor",,beagle,male,adult,large,playdate
n02088364_4527,55,"I have a medium size adult  male beagle dog. it is very athletic,loves exercise,play and outdoor activities is very polite and good with everyone include other dogs and strangers.love to play outside I want to arrange a playdate for my dog we live near kalutara",,beagle,male,adult,medium,playdate
n02088364_5147,56,I want a to arrange a playdate for my large size female adult beagle dog who love to play outdoor and very found of athletic and also love doing exercises and it is very polite with other pets and with other people.we live near polonnaruwa.,,beagle,female,adult,large,playdate
n02088364_5716,57,"my dog is a small female puppy  it is very athletic,loves exercise,play and outdoor activities is very polite and good with everyone include other dogs and strangers. I want to arrange a playdate for my dog .we live near anuradhapura",,beagle,female,puppy,small,playdate
n02088364_9849,58,"I would like to arrannge a crossing partner for my medium size female adult beagle dog.it is very athletic,loves exercise,play and outdoor activities is very polite and good with everyone include other dogs and strangers.love to play outside.i live near kurunagala",,beagle,female,adult,medium,crossing
n02086910_862,59,I want to arrange a playdate for my papillon male small puppy it is very playful and lively and also have good behaviour around kids and strangers and polite with other dogs we live near kalutara.brown & white dog.,,papillon,male,puppy,small,playdate
n02086910_334,60,I have a medim size female  papillon puppy is very lively and playful easy to carry polite withh strangers and haave a good behaviuor around other pets I would like to arrange a playdate for my dog.welive near kalutara.black &  white dog on green ground,,papillon,female,puppy,medium,playdate
nn02085936_296,61,I have a female medium size  adult Maltese dog I want to arrange a crossing for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matara.small whit dog sitting on a grass ground,,Maltese,female,adult,medium,crossing
n02085936_338,62,I want to find a play date partner for my dog I have a male small  Maltese puppy it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kalutara.white dog insidee a cardboard box.,,Maltese,male,puppy,small,playdate
n02085936_352,63,I would like to arrange a crossing parttner for my female medium size adult Maltese dog it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near puttalam.white dog sitting near a wall.,,Maltese,female,adult,medium,crossing
n02085936_420,64,I have a male small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kurunegala.cream color puppy sleeping on the bed.,,Maltese,male,puppy,small,playdate
n02085936_500,65,"My dog is a female small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside we live near colombo.small white puppy with a red shirt.",,Maltese,female,puppy,small,playdate
n02085936_544,66,"I have a female small adult Maltese puppy I want to arange a playdate partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside we live near matara",,Maltese,male,puppy,small,playdate
n02085936_544,67,"I would like to arrange a playdate for my male small size Maltese puppy it is very playful,active and have a good behaviour with other pets and behave well with strangers love go for walks. we live in kalutara.small white puppy standing near a table.",,Maltese,female,adult,medium,crossing
n02085936_719,68,"I want to find a matching crossing partner for my dog I have a female medium size adult Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near mannar.white puppy with a white blanket.",,Maltese,female,adult,medium,playdate
n02085936_771,69,"My dog is a female small size Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near gampha.white puppy  on a metress.",,Maltese,female,puppy,small,playdate
n02085936_804,70,I have a male medium adult Maltese dog I want to arange a crossing  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kegalle.white puppy sitting on a green grass sround,,Maltese,male,adult,medium,crossing
n02085936_850,71,I have a male small size   Maltese pupppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matara.love to go for small walk.small white dog sitting on a white sand ground.,,Maltese,male,puppy,small,playdate
n02085936_851,72,I want to find a crossing partner for my dog I have a female medium size adult Maltese dog it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kilinocchi.cream color dog resting on a ground.,,Maltese,female,adult,medium,crossing
n02085936_1155,73,I would like to arrange a playdate parttner for my male  small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near puttalam.white dog resting on a floor.,,Maltese,male,puppy,small,playdate
n02085936_1244,74,I have a male small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kurunegala.cream color puppy sleeping on the bed.,,Maltese,male,puppy,small,playdate
n02085936_1247,75,"My dog is a female small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near colombo.white puppy siting on a brown tiled floor.",,Maltese,female,puppy,small,playdate
n02085936_1288,76,"I have a male medium size adult Maltese dog I want to arange a crossing partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside .we live near kandy.white dog with a nappkin",,Maltese,male,adult,medium,crossing
n02085936_1325,77,"I would like to arrange a playdate for my female small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in badulla.small white puppy resting on a bed with a blanket.",,Maltese,female,puppy,small,playdate
n02085936_1390,78,"I want to find a matching crossing partner for my dog I have a female medium size adult Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near trinco.white dog siting on a ground.",,Maltese,female,adult,medium,crossing
n02085936_1424,79,"My dog is a male medium size adult Maltese dog I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near nuwara-eliya.white puppy standing ona geen grass ground.",,Maltese,male,adult,medium,playdate
n02085936_1515,80,I have a female small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near hambanthota.white puppy with aa pink pendent sitting on a floor,,Maltese,female,puppy,small,playdate
n02085936_1549,81,I have a male small  Maltese puppy I want to arange a playdate partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kegalle.white puppy sitting on a green grass sround,,Maltese,male,puppy,small,playdate
n02085936_1556,82,I have a female medium size adult  Maltese dog I want to arrange a crossing partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matara.love to go for small walk.small white dog satndig on a brown floor.,,Maltese,female,adult,medium,crossing
n02085936_1739,83,I want to find a crossing partner for my dog I have a male medium size adult Maltese dog it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matale.white dog  siting infron of a pink wall.,,Maltese,male,adult,medium,crossing
n02085936_1799,84,I would like to arrange a playdate partner for my female  small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near galle.white dog resting on a floor.white puppy with a red ribbon resting on a couch.,,Maltese,female,puppy,small,playdate
n02085936_2135,85,I have a male small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and adapt well with other pets behave well with strangers love to play outside we live near kegalle.white dog on a pink sheet.,,Maltese,male,puppy,small,playdate
n02085936_2154,86,"My dog is a female small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near  kalutara.white puppy siting on a brown tiled floor.",,Maltese,female,puppy,small,playdate
n02085936_2167,87,"I would like to arrange a playdate for my male small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in matara.a lady holding a small white puppy..",,Maltese,male,puppy,small,playdate
n02085936_2203,88,"I want  to arrange a crossing partner for my female medium size adult Maltese dog. it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in kandy.small white puppy resting on a bed .",,Maltese,female,adult,medium,crossing
n02085936_2318,89,"I want to find a matching crossing partner for my dog I have a male medium size adult Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near monaragala.white dog standding on a ash color table.",,Maltese,male,adult,medium,crossing
n02085936_2422,90,"My dog is a female medium size adult Maltese dog I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near gampha.white dog siting on a bed.",,Maltese,male,puppy,small,playdate
n02085936_2458,91,I have a male small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near colombo.white dog with a blue t shirt resting on a stool.,,Maltese,male,puppy,small,playdate
n02085936_2465,92,I have a female small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside.love to go for small walks we live near kurunegala.white small puppy with a t-shirt siting on a bench.,,Maltese,female,puppy,small,playdate
n02085936_2536,93,I have a male small size   Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near kalutara.love to go for small walk.small white dog standing on a wwhite floor.,,Maltese,male,puppy,small,playdate
n02085936_2543,94,I want to find a crossing partner for my dog I have a female medium size adult Maltese dog it is very playful and adapt well with other pets behave well with strangers love to play outside we live near anuradhapura.white dog siting on a brown floor.,,Maltese,female,adult,medium,crossing
n02085936_2573,95,I would like to arrange a playdate partner for my female  medium size adult  Maltese dog. it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near polonnaruwa.white dog resting on a white sand ground.,,Maltese,female,adult,medium,playdate
n02085936_2627,96,I have a male large size adult  Maltese dog I want to arrange a crossing partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near vavuniya.white dog standing on a stool.,,Maltese,male,adult,large,crossing
n02085936_2636,97,"My dog is a female medium size adult Maltese dog I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near gampha.white dog resing on a floor.",,Maltese,female,adult,medium,playdate
n02085936_2693,98,"I have a male medium size adult Maltese dog I want to arange a crossing partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside .we live near matale.white dog resting  on a floor.",,Maltese,male,adult,medium,crossing
n02085936_2741,99,"I would like to arrange a playdate for my female small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in galle.white small puppy resting on a white cousion chair.",,Maltese,female,puppy,small,playdate
n02085936_2832,100,"I want to find a matching crossing partner for my dog I have a male medium size adult Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near kalutara.white dog resting on a white carpert.",,Maltese,male,adult,medium,crossing
n02085936_2905,101,"My dog is a female small size adult Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near kandy.white puppy standing on white floor.",,Maltese,female,adult,small,playdate
n02085936_2927,102,I have a male small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near matara.white puppy standing near a swimpool.,,Maltese,male,puppy,small,playdate
n02085936_2976,103,I have a female medium size adult   Maltese dog I want to arange a crossing partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near puttalam.white dog with apink shirt standingin a cot.,,Maltese,female,adult,medium,crossing
n02085936_2999,104,I have a male small size  Maltese puppy I want to arrange a cplaaydate partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near jaffna.love to go for small walk.a lady holding a small white uppy.,,Maltese,male,puppy,small,playdate
n02085936_3000,105,I want to find a crossing partner for my dog I have a female large size adult Maltese dog it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matale.white dog  siting onn brown sofa.,,Maltese,female,adult,large,crossing
n02085936_3108,106,I would like to arrange a playdate partner for my male  small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near gampha.small white puppy runningg on a  green grass ground,,Maltese,male,puppy,small,playdate
n02085936_3207,107,I have a female medium size adult Maltese dog I want to arrange a crossing partner for my pet dogit is very playful and adapt well with other pets behave well with strangers love to play outside we live near kegalle.white dog sleepingon a lap.,,Maltese,female,adult,medium,crossing
n02085936_3217,108,"My dog is a male small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near  anuradhapura.a lady holding a white puppy.",,Maltese,male,puppy,small,playdate
n02085936_3239,109,"I would like to arrange a playdate for my female small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in colombo.a lady holding a small white puppy.small white  puppy siting on a bed.",,Maltese,female,puppy,small,playdate
n02085936_3313,110,"I want  to arrange a crossing partner for my male medium size adult Maltese dog. it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in badulla.small white dog sitting near a flower pot .",,Maltese,male,adult,medium,crossing
n02085936_3315,111,"I want to find a matching crossing partner for my dog I have a male medium size adult Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near kuranegala.cream color dog resting on a bed.",,Maltese,male,adult,medium,crossing
n02085936_3326,112,"My dog is a female medium size adult Maltese dog I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near kegalle.white dog with a blue pendant standing on a tiled floor..",,Maltese,female,adult,medium,playdate
n02085936_3348,113,I have a male small Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near monaragala.a white small dog having a bath standing in a sink.,,Maltese,male,puppy,small,playdate
n02085936_3391,114,I have a female small size Maltese puppy I want to arange a playdate  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near baticola.small white puppy with a black sheet siting on a sofa.,,Maltese,female,puppy,small,playdate
n02085936_3394,115,I have a male medium size adult Maltese dog I want to arrange a crossing partner for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near matale.love to go for small walk.cream color dog siting on a bed.,,Maltese,male,adult,medium,crossing
n02085936_3396,116,I want to find a crossing partner for my dog I have a female medium size adult Maltese dog it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near rathanpura.cahined white color dog with a blue & pink shirt.,,Maltese,female,adult,medium,crossing
n02085936_3470,117,I would like to arrange a playdate partner for my male  small size  Maltese puppy it is very playful and have a good behaviour with other pets and behave well with strangers love to play outside we live near anuradhapura.white dog a laying under a table.,,Maltese,male,puppy,small,playdate
n02085936_3580,118,I have a female small size  Maltese puppy I want to arrange a playdate for my pet it is very playful and have a good behaviour with other pets behave well with strangers love to play outside we live near polonnaruwa.small whitte puppy siting near a blue blancket.,,Maltese,female,puppy,small,playdate
n02085936_3677,119,"My dog is a male small Maltese puppy I want to arrange a playdate for my puppy it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside.love to go for small walks. we live near monaragala.white puppy siting on a table.",,Maltese,male,puppy,small,playdate
n02085936_3678,120,"I have a female medium size adult Maltese dog I want to arange a crossing partner for my dog it is very playful ,friendly and have a good behaviour with other pets and also behave well with strangers love to play outside .we live near kalutara.white dog staing on a white couch.",,Maltese,female,adult,medium,crossing
n02085936_3698,121,"I would like to arrange a playdate for my male small size Maltese puppy it is very playful,active ,energetic and have a good behaviour with other pets and behave well with strangers love to go for walks. we live in rathnapura.small white puppy with a blue shirt siting on a bed.",,Maltese,male,puppy,small,playdate
n02085936_3947,122,"I want to find a matching playdate partner for my dog I have a female small size puppy Maltese dog it is very playful,active and have a good behaviour with other pets behave well with strangers love to play outside we live near puttalam.small white puppy siting on a car bonnet.",,Maltese,female,puppy,small,playdate
n02085936_3994,123,"My dog is a male medium size adult Maltese dog I want to arrange a playdate for my puppy it is very playful ,friendly and adapt well with other pets and also polite with strangers love to play outside and like go for a walk. we live near kandy.white dog on a white chair.",,Maltese,male,adult,medium,playdate
n02085936_4004,124,I have a female medium size adult Maltese dog I want to arange a crossing  partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near gampha.white dog with a blue nappkin siting on the floor,,Maltese,female,adult,medium,crossing
n02085936_4070,125,I have a male small  Maltese puppy I want to arange a playdate partner for my dog it is very playful and mix well with other pets and also have a good behaviour around strangers love to play outside we live near kurunegala.small white puppy with a pink shirt siting on a bed.,,Maltese,male,puppy,small,playdate
